district,hour,pm10,pm25,o3,no2,co,so2
강남구,0,31.352617079889807,18.46831955922865,0.027637912087912088,0.019772802197802197,0.40425824175824177,0.0024747252747252747
강남구,1,31.691460055096417,18.705234159779614,0.02703489010989011,0.01866675824175824,0.39576923076923076,0.002436813186813187
강남구,2,30.361878453038674,17.87052341597796,0.02646043956043956,0.017703296703296702,0.3842857142857143,0.0023934065934065932
강남구,3,30.58011049723757,18.25068870523416,0.025740934065934067,0.016999175824175823,0.3757692307692308,0.0023607142857142854
강남구,4,29.35082872928177,17.509641873278238,0.024954395604395604,0.016534340659340657,0.36865384615384617,0.0023384615384615384
강남구,5,29.92265193370166,18.068870523415978,0.02347142857142857,0.017025549450549453,0.3661263736263737,0.002321153846153846
강남구,6,29.542699724517906,17.831955922865014,0.02145686813186813,0.01848653846153846,0.3639560439560439,0.002297802197802198
강남구,7,30.088154269972453,17.90909090909091,0.01862087912087912,0.021761813186813188,0.37412087912087916,0.002337912087912088
강남구,8,29.74931129476584,17.170798898071624,0.01770521978021978,0.024008516483516484,0.3948626373626373,0.0023782967032967032
강남구,9,31.349862258953166,17.418732782369148,0.020169505494505496,0.023622252747252746,0.4143526170798898,0.002442857142857143
강남구,10,32.06060606060606,17.06611570247934,0.024321703296703294,0.022381043956043952,0.41912087912087914,0.0025192307692307693
강남구,11,33.54016620498615,17.138121546961326,0.02984931129476584,0.02027603305785124,0.4066666666666667,0.002561707988980716
강남구,12,33.15297450424929,16.6938202247191,0.035889518413597735,0.017812429378531072,0.3843502824858757,0.0025689265536723163
강남구,13,34.01449275362319,18.014285714285716,0.04122724637681159,0.015592196531791907,0.3667052023121387,0.0025485549132947976
강남구,14,33.30747126436781,17.84,0.0445448275862069,0.014768103448275864,0.35554597701149426,0.002547413793103448
강남구,15,34.448680351906155,18.104046242774565,0.04626695652173913,0.014225581395348838,0.3422093023255814,0.0025686046511627907
강남구,16,33.2991452991453,17.507042253521128,0.04632478632478633,0.014617948717948717,0.3410826210826211,0.002537037037037037
강남구,17,33.991643454039,18.371191135734072,0.045910497237569056,0.01533601108033241,0.342797783933518,0.002531388888888889
강남구,18,33.43646408839779,18.600550964187327,0.04386181318681319,0.016439669421487602,0.3528650137741047,0.0025085872576177284
강남구,19,33.666666666666664,19.325068870523417,0.04004752747252747,0.018045329670329673,0.37532967032967035,0.002490909090909091
강남구,20,32.85123966942149,19.151515151515152,0.03612142857142857,0.019154395604395604,0.3898626373626374,0.0024953296703296704
강남구,21,33.03305785123967,19.272727272727273,0.03308241758241758,0.019523351648351648,0.4028846153846154,0.002495054945054945
강남구,22,31.980716253443525,18.611570247933884,0.031063736263736264,0.019700824175824177,0.4039285714285714,0.0024989010989010987
강남구,23,32.36088154269972,18.96694214876033,0.02892554945054945,0.020261538461538463,0.4067307692307693,0.0024884615384615383
강동구,0,35.085470085470085,21.584022038567493,0.027766483516483514,0.01928186813186813,0.5600859598853868,0.002696418732782369
강동구,1,34.085470085470085,22.34078212290503,0.026665109890109888,0.01824065934065934,0.5487896253602306,0.002669889502762431
강동구,2,33.973837209302324,21.165289256198346,0.025821978021978022,0.017113186813186812,0.5407204610951009,0.0026281767955801108
강동구,3,32.86440677966102,20.97245179063361,0.025078846153846153,0.0162989010989011,0.5347262247838617,0.0025983425414364643
강동구,4,31.814814814814813,20.257617728531855,0.024376923076923077,0.015772802197802197,0.5261671469740634,0.0025671270718232043
