name,longitude,latitude,address
서대문구-북성어린이공원,126.951459924,37.558637274,서울특별시 서대문구 북아현로1나길 25
정릉천,127.034234848,37.577584499,서울특별시 동대문구 천호대로25길 73
명수 어린이공원,126.9508333,37.56022222,서울특별시 서대문구 북아현로11길 100
안산 현저지구,126.9534444,37.57766667,서울특별시 서대문구 통일로17길 48-2
묵정공원,127.0,37.56383333,서울특별시 중구 퇴계로45길 32-12
소월길어린이공원,126.989342627,37.543501385,서울특별시 용산구 소월로38길 42
삼청공원,126.9840278,37.58841667,서울특별시 종로구 북촌로 134-3
삼청공원,126.98475,37.58858333,서울특별시 종로구 북촌로 134-3
창경궁,126.9951667,37.58122222,서울특별시 종로구 창경궁로 185
쌍용산 어린이공원,126.9506667,37.55213889,서울특별시 마포구 마포대로11길 44-81
남산공원(장충자락),126.9999167,37.55469444,서울특별시 중구 남산공원길 372
청계천,127.0015278,37.56963889,서울특별시 종로구 청계천로 215
남산공원(장충자락),126.9989444,37.55063889,서울특별시 중구 장충동2가 산 14-21
연지1어린이공원,127.001026817,37.574185928,서울특별시 종로구 대학로3길 29
경의선 숲길공원,126.967072027,37.536947051,서울특별시 용산구 원효로 216
남산공원(한남자락),126.994578679,37.54341575,서울특별시 용산구 이태원동 259-16
중부녹지-남산공원(장충자락)-7,127.001734222,37.553825616,서울특별시 중구 장충단로 91
훈련원공원,127.003600532,37.567330767,서울특별시 중구 을지로 227
경의선 숲길공원,126.959395301,37.539251161,서울특별시 용산구 새창로 93
봉원소공원,126.9455,37.56958333,서울특별시 서대문구 봉원사길 65
삼각지어린이공원,126.9752778,37.53444444,서울특별시 용산구 이태원로2길 10
남산공원(장충자락),127.0041389,37.55813889,서울특별시 중구 동호로 257-10
남산공원(한남자락),126.9952778,37.54222222,서울특별시 용산구 소월로 302
경의선숲길,126.932178511,37.554493662,서울특별시 마포구 와우산로32길 38-2
응봉근린공원,127.017386232,37.555156622,서울특별시 성동구 금호로 173
